playerId	playerTag	country	last_game_date	latest_rating	best_rating	worst_rating	diff_rating	rank	diff_rank	updated	win_rate	game_n	win_n	lose_n
264332	Crackfiend	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
600562	LegendaryyPred	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
294270	Royale	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
325114	MoonBoots	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
340427	Sim	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
372499	Aroo	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
374914	Tencoth	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.75	4.0	3.0	1.0
394154	VforCharlie	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
401123	Nurzbenny	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
258687	Chaoser	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
420842	Chino Funkey	PE	2023-08-06	1521	1521	1500	21	944	-943	True	0.6	5.0	3.0	2.0
566104	Crocs N' Socks	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6	5.0	3.0	2.0
611167	rubes	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
225344	Hoku	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
735128	DoctaDigital	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
740164	Phoxx		2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
766183	Broach	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.75	4.0	3.0	1.0
804015	Fightprovoker	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6	5.0	3.0	2.0
848322	David Lopez-Garcia		2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
917927	Rtribute	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6	5.0	3.0	2.0
940771	RexKing	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.75	4.0	3.0	1.0
1039293	Buscar Luz	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
496216	Juno	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
240845	Jigz510	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
409445	Flapjack	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
1685453	MaitrePoulet	FR	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
1256130	Poppacap48	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
2569233	Tamashiro	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
2345533	Beebo	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
2348085	Jaysin_Born	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
2477715	CommieDuck	ES	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
2485188	FlyDragon	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
3421050	FGMarathon	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
2487222	Pretender	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
2694493	Fel		2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
3357183	Solid	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.75	4.0	3.0	1.0
2921343	Asobu	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6	5.0	3.0	2.0
3052787	Tymn	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
3220135	Mr3dimensional	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
3242035	FfoxXTtrotT	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
3253329	CJ Nosa	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
3284289	nicktwist	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.75	4.0	3.0	1.0
2254360	KillJoy	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
2213791	TricksterPriest	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
1662098	Rahuligan	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
1513771	Mr.LeeGaming12	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.75	4.0	3.0	1.0
1504506	Tboisteak	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6	5.0	3.0	2.0
1395451	gochujon		2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
2516547	TLKashima	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
3440092	Mesablanka	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
3446053	Scott Lee	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
1346720	FireFistJavo	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6	5.0	3.0	2.0
1277074	Link2k	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
3291299	TakuanSoho	US	2023-08-06	1521	1521	1500	21	944	-943	True	0.6666666666666666	6.0	4.0	2.0
14464	JettSett	US	2023-08-06	1520	1520	1500	20	1025	-1024	True	0.6666666666666666	6.0	4.0	2.0
13817	Hexfactor	US	2023-08-06	1520	1520	1500	20	1025	-1024	True	0.6	5.0	3.0	2.0
10357	incross	US	2023-08-06	1520	1520	1500	20	1025	-1024	True	0.6	5.0	3.0	2.0
996234	Bungry	US	2023-08-06	1520	1520	1500	20	1025	-1024	True	0.6666666666666666	6.0	4.0	2.0
