Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars
2025-10-31 07:19:14 UTC	Fightclub Championship	Pools	Winners Semi-Final	2237431	5011190	2	1	N/A	N/A
2025-10-31 07:18:39 UTC	Fightclub Championship	Pools	Losers Round 3	5024161	4987704	2	1	N/A	N/A
2025-10-31 07:17:57 UTC	Fightclub Championship	Pools	Losers Round 3	5024116	5024087	2	0	N/A	N/A
2025-10-31 07:17:37 UTC	Fightclub Championship	Pools	Losers Round 3	5024060	4987740	2	0	N/A	N/A
2025-10-31 07:17:17 UTC	Fightclub Championship	Pools	Winners Final	338795	5024049	2	1	N/A	N/A
2025-10-31 07:16:56 UTC	Fightclub Championship	Pools	Losers Round 4	2615125	5011203	2	0	N/A	N/A
2025-10-31 07:16:19 UTC	Fightclub Championship	Pools	Losers Round 3	5011208	5024062	2	0	N/A	N/A
2025-10-31 07:15:43 UTC	Fightclub Championship	Pools	Losers Round 2	4227231	5024158	2	0	N/A	N/A
2025-10-31 07:15:37 UTC	Fightclub Championship	Pools	Losers Round 3	3933259	5024180	2	0	N/A	N/A
2025-10-31 07:14:43 UTC	Fightclub Championship	Pools	Winners Semi-Final	894065	5024115	2	0	N/A	N/A
2025-10-31 07:14:09 UTC	Fightclub Championship	Pools	Losers Round 2	4987738	5024181	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 07:13:50 UTC	Fightclub Championship	Pools	Winners Round 2	557482	4987640	2	0	N/A	N/A
2025-10-31 07:13:26 UTC	Fightclub Championship	Pools	Losers Round 2	3941229	5011246	2	1	N/A	N/A
2025-10-31 07:13:02 UTC	Fightclub Championship	Pools	Losers Round 2	5024048	5024100	2	0	N/A	N/A
2025-10-31 07:12:46 UTC	Fightclub Championship	Pools	Winners Semi-Final	148527	5024057	2	0	N/A	N/A
2025-10-31 07:12:04 UTC	Fightclub Championship	Pools	Losers Round 2	5024090	4987702	2	0	N/A	N/A
2025-10-31 07:12:01 UTC	Fightclub Championship	Pools	Losers Round 2	4987740	5024179	2	1	N/A	N/A
2025-10-31 07:11:56 UTC	Fightclub Championship	Pools	Losers Round 3	5011210	5024126	2	0	N/A	N/A
2025-10-31 07:11:08 UTC	Fightclub Championship	Pools	Winners Final	364174	1455289	2	1	N/A	N/A
2025-10-31 07:11:00 UTC	Fightclub Championship	Pools	Losers Round 2	4987793	5011181	2	0	N/A	N/A
2025-10-31 07:10:07 UTC	Fightclub Championship	Pools	Losers Round 3	5011203	4987723	2	0	N/A	N/A
2025-10-31 07:09:52 UTC	Fightclub Championship	Pools	Losers Round 3	5024192	5011247	W (DQ/FF)	L (DQ/FF)	N/A	N/A
2025-10-31 07:09:27 UTC	Fightclub Championship	Pools	Winners Round 1	5011204	5024156	2	0	N/A	N/A
2025-10-31 07:09:20 UTC	Fightclub Championship	Pools	Winners Round 1	4987640	5011183	2	0	N/A	N/A
