Datetime(UTC)	Event	Bracket	Round	Player1	Player2	Player1Score	Player2Score	Player1Chars	Player2Chars	RateDiff
2025-05-09 13:18:59 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	3264987	4654773	2	0			15
2025-05-09 13:18:58 UTC	EVO Japan 2025	Round1	Losers Round 1	1981512	4731271	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:18:58 UTC	EVO Japan 2025	Round1	Losers Round 2	3941724	4731254	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:18:57 UTC	EVO Japan 2025	Round1	Losers Round 1	566687	4668189	2	0			16
2025-05-09 13:18:55 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	315529	3290157	2	0			17
2025-05-09 13:18:54 UTC	EVO Japan 2025	Round1	Losers Round 2	4657139	4563019	2	0			15
2025-05-09 13:18:53 UTC	EVO Japan 2025	Round1	Winners Round 1	3950307	4616013	2	0			15
2025-05-09 13:18:53 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	4661991	2816163	2	0			15
2025-05-09 13:18:53 UTC	EVO Japan 2025	Round1	Winners Round 1	566606	4731909	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:18:51 UTC	EVO Japan 2025	Round1	Winners Round 1	1403556	3742422	2	1			9
2025-05-09 13:18:50 UTC	EVO Japan 2025	Round1	Winners Final	295103	4180161	2	1			7
2025-05-09 13:18:50 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	3568758	3889469	2	0			12
2025-05-09 13:18:50 UTC	EVO Japan 2025	Round1	Losers Round 1	3935407	4730015	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:18:49 UTC	EVO Japan 2025	Round1	Winners Round 1	4563167	3959948	2	0			14
2025-05-09 13:18:49 UTC	EVO Japan 2025	Round1	Winners Round 1	3962489	2151081	2	0			14
2025-05-09 13:18:48 UTC	EVO Japan 2025	Round1	Losers Round 1	4524624	4731922	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:18:46 UTC	EVO Japan 2025	Round1	Winners Round 1	4209167	4731710	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:18:46 UTC	EVO Japan 2025	Round1	Winners Round 1	3275553	3929585	2	0			18
2025-05-09 13:18:45 UTC	EVO Japan 2025	Round1	Winners Semi-Final	4180161	4333126	2	0			14
2025-05-09 13:18:44 UTC	EVO Japan 2025	Round1	Losers Round 1	4731254	4729562	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:18:44 UTC	EVO Japan 2025	Round1	Winners Final	1500670	140126	2	0			16
2025-05-09 13:18:41 UTC	EVO Japan 2025	Round1	Winners Round 1	1574489	4731886	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:18:41 UTC	EVO Japan 2025	Round1	Winners Round 1	4674524	4193781	2	0			15
2025-05-09 13:18:41 UTC	EVO Japan 2025	Round1	Winners Round 1	4663655	3929958	2	1			10
2025-05-09 13:18:40 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	4333126	4668760	W (DQ/FF)	L (DQ/FF)			11
2025-05-09 13:18:40 UTC	EVO Japan 2025	Round1	Winners Semi-Final	1500670	3778023	2	1			12
2025-05-09 13:18:39 UTC	EVO Japan 2025	Round1	Winners Final	131806	3585634	2	1			7
2025-05-09 13:18:39 UTC	EVO Japan 2025	Round1	Winners Final	4231056	4609902	2	1			11
2025-05-09 13:18:37 UTC	EVO Japan 2025	Round1	Winners Round 1	4654773	4729564	W (DQ/FF)	L (DQ/FF)			11
2025-05-09 13:18:36 UTC	EVO Japan 2025	Round1	Winners Semi-Final	140126	3766247	2	0			16
2025-05-09 13:18:35 UTC	EVO Japan 2025	Round1	Winners Round 1	1482324	4619447	2	1			10
2025-05-09 13:18:34 UTC	EVO Japan 2025	Round1	Winners Semi-Final	3585634	2577993	2	0			13
2025-05-09 13:18:32 UTC	EVO Japan 2025	Round1	Winners Semi-Final	295103	4534472	2	0			10
2025-05-09 13:18:32 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	140126	3579024	2	1			10
2025-05-09 13:18:32 UTC	EVO Japan 2025	Round1	Winners Round 1	4652308	4729630	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:18:31 UTC	EVO Japan 2025	Round1	Winners Round 1	3264987	4729317	W (DQ/FF)	L (DQ/FF)			9
2025-05-09 13:18:30 UTC	EVO Japan 2025	Round1	Winners Round 1	2816163	4452537	2	0			17
2025-05-09 13:18:30 UTC	EVO Japan 2025	Round1	Winners Semi-Final	131806	3986027	2	1			8
2025-05-09 13:18:28 UTC	EVO Japan 2025	Round1	Winners Round 1	557240	4657041	W (DQ/FF)	L (DQ/FF)			10
2025-05-09 13:18:28 UTC	EVO Japan 2025	Round1	Winners Quarter-Final	3766247	4198824	2	0			15
